sepal.length,sepal.width,petal.length,petal.width,variety,event_time
5.1,3.5,1.4,0.2,Setosa,22-01-2026 05:00
4.9,3,1.4,0.2,Setosa,23-01-2026 05:00
4.7,3.2,1.3,0.2,Setosa,24-01-2026 05:00
4.6,3.1,1.5,0.2,Setosa,25-01-2026 05:00
5,3.6,1.4,0.2,Setosa,26-01-2026 05:00
5.4,3.9,1.7,0.4,Setosa,27-01-2026 05:00
4.6,3.4,1.4,0.3,Setosa,28-01-2026 05:00
5,3.4,1.5,0.2,Setosa,29-01-2026 05:00
4.4,2.9,1.4,0.2,Setosa,30-01-2026 05:00
4.9,3.1,1.5,0.1,Setosa,22-01-2026 05:00
5.4,3.7,1.5,0.2,Setosa,23-01-2026 05:00
4.8,3.4,1.6,0.2,Setosa,24-01-2026 05:00
4.8,3,1.4,0.1,Setosa,25-01-2026 05:00
4.3,3,1.1,0.1,Setosa,26-01-2026 05:00
5.8,4,1.2,0.2,Setosa,27-01-2026 05:00
5.7,4.4,1.5,0.4,Setosa,28-01-2026 05:00
5.4,3.9,1.3,0.4,Setosa,29-01-2026 05:00
5.1,3.5,1.4,0.3,Setosa,30-01-2026 05:00
5.7,3.8,1.7,0.3,Setosa,22-01-2026 05:00
5.1,3.8,1.5,0.3,Setosa,23-01-2026 05:00
5.4,3.4,1.7,0.2,Setosa,24-01-2026 05:00
5.1,3.7,1.5,0.4,Setosa,25-01-2026 05:00
4.6,3.6,1,0.2,Setosa,26-01-2026 05:00
5.1,3.3,1.7,0.5,Setosa,27-01-2026 05:00
4.8,3.4,1.9,0.2,Setosa,28-01-2026 05:00
5,3,1.6,0.2,Setosa,29-01-2026 05:00
5,3.4,1.6,0.4,Setosa,30-01-2026 05:00
5.2,3.5,1.5,0.2,Setosa,22-01-2026 05:00
5.2,3.4,1.4,0.2,Setosa,23-01-2026 05:00
4.7,3.2,1.6,0.2,Setosa,24-01-2026 05:00
4.8,3.1,1.6,0.2,Setosa,25-01-2026 05:00
5.4,3.4,1.5,0.4,Setosa,26-01-2026 05:00
5.2,4.1,1.5,0.1,Setosa,27-01-2026 05:00
5.5,4.2,1.4,0.2,Setosa,28-01-2026 05:00
4.9,3.1,1.5,0.2,Setosa,29-01-2026 05:00
5,3.2,1.2,0.2,Setosa,30-01-2026 05:00
5.5,3.5,1.3,0.2,Setosa,22-01-2026 05:00
4.9,3.6,1.4,0.1,Setosa,23-01-2026 05:00
4.4,3,1.3,0.2,Setosa,24-01-2026 05:00
5.1,3.4,1.5,0.2,Setosa,25-01-2026 05:00
5,3.5,1.3,0.3,Setosa,26-01-2026 05:00
4.5,2.3,1.3,0.3,Setosa,27-01-2026 05:00
4.4,3.2,1.3,0.2,Setosa,28-01-2026 05:00
5,3.5,1.6,0.6,Setosa,29-01-2026 05:00
5.1,3.8,1.9,0.4,Setosa,30-01-2026 05:00
4.8,3,1.4,0.3,Setosa,22-01-2026 05:00
5.1,3.8,1.6,0.2,Setosa,23-01-2026 05:00
4.6,3.2,1.4,0.2,Setosa,24-01-2026 05:00
5.3,3.7,1.5,0.2,Setosa,25-01-2026 05:00
5,3.3,1.4,0.2,Setosa,26-01-2026 05:00
7,3.2,4.7,1.4,Versicolor,27-01-2026 05:00
6.4,3.2,4.5,1.5,Versicolor,28-01-2026 05:00
6.9,3.1,4.9,1.5,Versicolor,29-01-2026 05:00
5.5,2.3,4,1.3,Versicolor,30-01-2026 05:00
6.5,2.8,4.6,1.5,Versicolor,22-01-2026 05:00
5.7,2.8,4.5,1.3,Versicolor,23-01-2026 05:00
6.3,3.3,4.7,1.6,Versicolor,24-01-2026 05:00
4.9,2.4,3.3,1,Versicolor,25-01-2026 05:00
6.6,2.9,4.6,1.3,Versicolor,26-01-2026 05:00
5.2,2.7,3.9,1.4,Versicolor,27-01-2026 05:00
5,2,3.5,1,Versicolor,28-01-2026 05:00
5.9,3,4.2,1.5,Versicolor,29-01-2026 05:00
6,2.2,4,1,Versicolor,30-01-2026 05:00
6.1,2.9,4.7,1.4,Versicolor,22-01-2026 05:00
5.6,2.9,3.6,1.3,Versicolor,23-01-2026 05:00
6.7,3.1,4.4,1.4,Versicolor,24-01-2026 05:00
5.6,3,4.5,1.5,Versicolor,25-01-2026 05:00
5.8,2.7,4.1,1,Versicolor,26-01-2026 05:00
6.2,2.2,4.5,1.5,Versicolor,27-01-2026 05:00
5.6,2.5,3.9,1.1,Versicolor,28-01-2026 05:00
